source_id,organization_name,page_name,category,language,url,is_active,expected_fields
bxl_001,City of Brussels,Opening hours,opening_hours,en,https://www.brussels.be/opening-hours,1,page_title|content_hash|opening_hours|phone|address|important_links|update_date_text
bxl_002,City of Brussels,Brucity Administrative Centre,contact,en,https://www.brussels.be/brucity,1,page_title|content_hash|opening_hours|phone|email|address|important_links|update_date_text
bxl_003,City of Brussels,Make an appointment,appointment,en,https://www.brussels.be/make-appointment,1,page_title|content_hash|phone|email|important_links|update_date_text
bxl_004,City of Brussels,Online requests,procedure,en,https://www.brussels.be/online-requests,1,page_title|content_hash|important_links|pdf_links|update_date_text
bxl_005,City of Brussels,Population and Civil Registry - opening hours,opening_hours,en,https://www.brussels.be/population-and-civil-registry-opening-hours,1,page_title|content_hash|opening_hours|address|phone|important_links|update_date_text
bxl_006,City of Brussels,Police stations,service_directory,en,https://www.brussels.be/police-stations,1,page_title|content_hash|phone|address|opening_hours|important_links
bxl_007,City of Brussels,Certificate of main residence with history,procedure,en,https://www.brussels.be/certificate-main-residence-history,1,page_title|content_hash|fee_text|pdf_links|important_links|update_date_text
bxl_008,City of Brussels,Foreigners' Office - EU,contact,en,https://www.brussels.be/directory-2427,1,page_title|content_hash|opening_hours|phone|email|address|important_links
bxl_009,City of Brussels,Brucity - Change of address,procedure,en,https://www.brussels.be/directory-65347,1,page_title|content_hash|opening_hours|phone|email|address|important_links
bxl_010,City of Brussels,Brucity - Marriages and legal cohabitation,procedure,en,https://www.brussels.be/directory-2434,1,page_title|content_hash|opening_hours|phone|email|address|important_links
and_001,Commune of Anderlecht,Contact,contact,fr,https://www.anderlecht.be/fr/contact,1,page_title|content_hash|phone|email|address|important_links
and_002,Commune of Anderlecht,Population - Documents d'identité,procedure,fr,https://www.anderlecht.be/fr/population-documents-d-identite,1,page_title|content_hash|opening_hours|phone|email|address|important_links
and_003,Commune of Anderlecht,Population - Légalisation de signature et copie conforme,procedure,fr,https://www.anderlecht.be/fr/population-legalisation-de-signature-et-copie-conforme,1,page_title|content_hash|opening_hours|phone|email|address|important_links|pdf_links
and_004,Commune of Anderlecht,Cellule logement et guichet logement,contact,fr,https://www.anderlecht.be/fr/node/201,1,page_title|content_hash|opening_hours|phone|email|address|important_links
and_005,Commune of Anderlecht,Etat Civil - Nationalité,procedure,fr,https://anderlecht.be/fr/organisme/etat-civil-nationalite,1,page_title|content_hash|opening_hours|phone|email|address|important_links
ett_001,Commune of Etterbeek,Contactez-nous,contact,fr,https://etterbeek.brussels/fr/contact,1,page_title|content_hash|phone|email|address|important_links
ett_002,Commune of Etterbeek,Services,service_directory,fr,https://etterbeek.brussels/fr/services,1,page_title|content_hash|phone|email|important_links|update_date_text
ett_003,Commune of Etterbeek,Prendre rendez-vous,appointment,fr,https://etterbeek.brussels/fr/rdv/services,1,page_title|content_hash|important_links|update_date_text
ett_004,Commune of Etterbeek,Vos démarches,procedure_directory,fr,https://etterbeek.brussels/fr/demarches,1,page_title|content_hash|important_links|update_date_text
ett_005,Commune of Etterbeek,Première inscription (citoyen UE/EEE/Suisse),procedure,fr,https://etterbeek.brussels/fr/demarches/adresse/premiere-inscription-citoyen-ueeeesuisse,1,page_title|content_hash|fee_text|pdf_links|important_links|update_date_text
ett_006,Commune of Etterbeek,Carte A (dépôt d'un dossier de renouvellement),procedure,fr,https://etterbeek.brussels/fr/demarches/identite/carte-a-depot-dun-dossier-de-renouvellement,1,page_title|content_hash|opening_hours|important_links|update_date_text
ett_007,Commune of Etterbeek,Administration communale d'Etterbeek,contact,fr,https://etterbeek.brussels/fr/organisme/administration-communale-detterbeek,1,page_title|content_hash|phone|email|address|opening_hours|important_links
ixl_001,Commune d'Ixelles,Contact,contact,fr,https://www.ixelles.be/site/248-Contact,1,page_title|content_hash|phone|email|address|important_links
ixl_002,Commune d'Ixelles,Services communaux,service_directory,fr,https://www.ixelles.be/site/57-Services-communaux,1,page_title|content_hash|phone|email|important_links|update_date_text
ixl_003,Commune d'Ixelles,Rendez-vous,appointment,fr,https://www.ixelles.be/site/871-Rendez-vous,1,page_title|content_hash|phone|email|important_links|update_date_text
ixl_004,Commune d'Ixelles,Population,opening_hours,fr,https://www.ixelles.be/site/68-Population,1,page_title|content_hash|opening_hours|important_links|update_date_text
ixl_005,Commune d'Ixelles,État civil,opening_hours,fr,https://www.ixelles.be/site/67-etat-civil,1,page_title|content_hash|opening_hours|phone|email|address|important_links|update_date_text
ixl_006,Commune d'Ixelles,Bureau des Étrangers,opening_hours,fr,https://www.ixelles.be/site/69-bureau-des-etrangers,1,page_title|content_hash|opening_hours|important_links|update_date_text
ixl_007,Commune d'Ixelles,Passeport,procedure,fr,https://www.ixelles.be/site/256-Passeport,1,page_title|content_hash|fee_text|important_links|update_date_text
ixl_008,Commune d'Ixelles,Urbanisme,service_directory,fr,https://www.ixelles.be/site/124-Urbanisme,1,page_title|content_hash|phone|email|important_links
cpa_001,CPAS-OCMW Anderlecht,Accueil,contact,fr-nl,https://cpas-ocmw.anderlecht.be/,1,page_title|content_hash|opening_hours|phone|email|address|important_links
cpa_002,CPAS-OCMW Anderlecht,Contactez-nous,contact,fr-nl,https://cpas-ocmw.anderlecht.be/contact/,1,page_title|content_hash|opening_hours|phone|email|address|important_links
